surface,placement_type,image_url,scrape_timestamp,tz
careem food home,food homepage modules,https://careem-catalog-media.imgix.net/catalogs/78c96b2c50fce34951dd645497088da8.jpeg,2025-08-23 20:20:20,Asia/Dubai
careem food home,food homepage modules,https://careem-catalog-media.imgix.net/catalogs/e285314519583c99a4b6a604da981ca5.jpeg,2025-08-23 20:20:20,Asia/Dubai
careem food home,food homepage modules,https://careem-catalog-media.imgix.net/catalogs/52ba34f74fba99720dddaed52b4f9f60.jpeg,2025-08-23 20:20:20,Asia/Dubai
careem food home,food homepage modules,https://careem-catalog-media.imgix.net/catalogs/chickentikkabiryani-mmhcsmmhun-1079019.jpg,2025-08-23 20:20:20,Asia/Dubai
careem food home,food homepage modules,https://careem-catalog-media.imgix.net/catalogs/9cfde893cb7c69c763904a4f30eb6cf2.jpeg,2025-08-23 20:20:20,Asia/Dubai
careem food home,food homepage modules,https://careem-catalog-media.imgix.net/catalogs/23ec8ac2378cf8271017e79c9fdac080.jpg,2025-08-23 20:20:20,Asia/Dubai
careem food home,food homepage modules,https://careem-catalog-media.imgix.net/catalogs/3fad1e3650c24765008dfedd74f9772e.png,2025-08-23 20:20:20,Asia/Dubai
careem food home,food homepage modules,https://careem-catalog-media.imgix.net/catalogs/a3f133645ae5da727e99c15b3487a281.jpeg,2025-08-23 20:20:20,Asia/Dubai
careem food home,food homepage modules,https://careem-catalog-media.imgix.net/catalogs/3cc33b295fb0e0fb062cdcb354bd9b9a.png,2025-08-23 20:20:20,Asia/Dubai
careem food home,food homepage modules,https://careem-catalog-media.imgix.net/catalogs/93d24a6fb0d07b9480a7a1d2cb590d9b.jpg,2025-08-23 20:20:20,Asia/Dubai
careem food home,food homepage modules,https://careem-catalog-media.imgix.net/catalogs/1716e369768c7280b11b3af500af39f3.png,2025-08-23 20:20:20,Asia/Dubai
careem food home,food homepage modules,https://careem-catalog-media.imgix.net/catalogs/a844f99decd860653c6d20f59d3f4a09.jpeg,2025-08-23 20:20:20,Asia/Dubai
careem food home,food homepage modules,https://careem-catalog-media.imgix.net/catalogs/dafd6d08e4ec8383b137866d4a7d73d1.jpeg,2025-08-23 20:20:20,Asia/Dubai
careem food home,food homepage modules,https://careem-catalog-media.imgix.net/catalogs/30da52b72e7cc7f08b48ba8531f544a8.jpeg,2025-08-23 20:20:20,Asia/Dubai
careem food home,food homepage modules,https://careem-catalog-media.imgix.net/catalogs/ec962cda083c4a02302c99d5abb5e3d1.jpeg,2025-08-23 20:20:20,Asia/Dubai
careem food home,food homepage modules,https://careem-catalog-media.imgix.net/catalogs/d78beb0365ea106a8b3454f0d31fb7e8.png,2025-08-23 20:20:20,Asia/Dubai
careem food home,food homepage modules,https://careem-catalog-media.imgix.net/catalogs/d8b1e011e9d367a6ac06b1d96721dbe8.jpeg,2025-08-23 20:20:20,Asia/Dubai
careem food home,food homepage modules,https://careem-catalog-media.imgix.net/catalogs/bc8ee85dc7ca8c14dda59a0ca797c62a.jpg,2025-08-23 20:20:20,Asia/Dubai
careem food home,food homepage modules,https://careem-catalog-media.imgix.net/catalogs/517089816d86ae5d347720d190930fd7.png,2025-08-23 20:20:20,Asia/Dubai
careem food home,food homepage modules,https://careem-catalog-media.imgix.net/catalogs/a5f1ac142725f14cc52e0504b5ca1bab.jpeg,2025-08-23 20:20:20,Asia/Dubai
careem food home,food homepage modules,https://careem-launcher-media.imgix.net/assets/com.careem.food/image(5)_xxxhdpi.png,2025-08-23 20:20:20,Asia/Dubai
careem food home,food homepage modules,https://careem-catalog-media.imgix.net/catalogs/294810651e765f1a112ed956cbe2b7cb.png,2025-08-23 20:20:20,Asia/Dubai
careem food home,food homepage modules,https://careem-catalog-media.imgix.net/catalogs/7dfa43e482bf783d3dda83a7c4872d22.png,2025-08-23 20:20:20,Asia/Dubai
careem food home,food homepage modules,https://careem-catalog-media.imgix.net/catalogs/d0cb06ea45d5f0988307bd609f609ff0.png,2025-08-23 20:20:20,Asia/Dubai
careem food home,food homepage modules,https://careem-catalog-media.imgix.net/catalogs/2abbe6bcaed08fe690e71fecdf751430.jpg,2025-08-23 20:20:20,Asia/Dubai
careem food home,food homepage modules,https://careem-catalog-media.imgix.net/catalogs/1275f2cf0a665dc9259b195943092c80.png,2025-08-23 20:20:20,Asia/Dubai
careem food home,food homepage modules,https://careem-catalog-media.imgix.net/catalogs/d043e12c1779166818a1a6dba885a0d6.png,2025-08-23 20:20:20,Asia/Dubai
careem food home,food homepage modules,https://careem-catalog-media.imgix.net/catalogs/fbd14cfa49e31a813c2d54e49efcc5c6.png,2025-08-23 20:20:20,Asia/Dubai
careem food home,food homepage modules,https://careem-catalog-media.imgix.net/catalogs/d788cf60bf56c12aa9c70d1bbde3f8c2.png,2025-08-23 20:20:20,Asia/Dubai
careem food home,food homepage modules,https://careem-catalog-media.imgix.net/catalogs/c0c40bfac7b356df707652b309944fcc.png,2025-08-23 20:20:20,Asia/Dubai
careem food home,food homepage modules,https://careem-catalog-media.imgix.net/catalogs/ddd18ef40389f7ddfd4649cbae2f01e6.png,2025-08-23 20:20:20,Asia/Dubai
careem food home,food homepage modules,https://careem-catalog-media.imgix.net/catalogs/89d3681b8963988f46a54d58047fc2e4.png,2025-08-23 20:20:20,Asia/Dubai
careem food home,food homepage modules,https://careem-catalog-media.imgix.net/catalogs/17d92035287df42204865d656e75c792.png,2025-08-23 20:20:20,Asia/Dubai
careem food home,food homepage modules,https://careem-catalog-media.imgix.net/catalogs/2478ad6572627d6b5586077639104fa6.png,2025-08-23 20:20:20,Asia/Dubai
careem food home,food homepage modules,https://careem-catalog-media.imgix.net/catalogs/6d3485c99f1f9ee47aad5f7589b1ddd9.png,2025-08-23 20:20:20,Asia/Dubai
careem food home,food homepage modules,https://careem-catalog-media.imgix.net/catalogs/c69457269d07693cd02a7cd91588cf82.png,2025-08-23 20:20:20,Asia/Dubai
careem food home,food homepage modules,https://careem-catalog-media.imgix.net/catalogs/92051bf85b9b856912fce514baa6eb51.png,2025-08-23 20:20:20,Asia/Dubai
