surface,placement_type,image_url,scrape_timestamp
food_home,module,https://careem-launcher-media.imgix.net/assets/com.careem.food/McD_copy_xxxhdpi.jpg,2025-08-23T21:33:11.489198+04:00
food_home,module,https://careem-launcher-media.imgix.net/assets/com.careem.food/Pizza_Hut_copy_xxxhdpi.jpg,2025-08-23T21:33:11.489228+04:00
food_home,module,https://careem-launcher-media.imgix.net/assets/com.careem.food/KFC_copy_xxxhdpi.jpg,2025-08-23T21:33:11.489239+04:00
food_home,module,https://careem-launcher-media.imgix.net/assets/com.careem.food/Popeyes_copy_xxxhdpi.jpg,2025-08-23T21:33:11.489244+04:00
food_home,module,https://careem-launcher-media.imgix.net/assets/com.careem.food/Jolibee_copy_xxxhdpi.jpg,2025-08-23T21:33:11.489248+04:00
food_home,module,https://careem-launcher-media.imgix.net/assets/com.careem.food/Laffah_copy_2_xxxhdpi.jpg,2025-08-23T21:33:11.489251+04:00
food_home,carousel,https://careem-prod-superapp-lts.s3.amazonaws.com/assets/com.careem.food/Offers_01-new-tile-image_xxxhdpi.png,2025-08-23T21:33:11.489265+04:00
food_home,carousel,https://careem-prod-superapp-lts.s3.amazonaws.com/assets/com.careem.food/GOTYOU-tile-image-new_xxxhdpi.png,2025-08-23T21:33:11.489270+04:00
food_home,carousel,https://careem-prod-superapp-lts.s3.amazonaws.com/assets/com.careem.food/healthy_new_UAE_tile_xxxhdpi.png,2025-08-23T21:33:11.489274+04:00
food_home,carousel,https://careem-prod-superapp-lts.s3.amazonaws.com/assets/com.careem.food/Burger-new-tile-image_xxxhdpi.png,2025-08-23T21:33:11.489277+04:00
food_home,carousel,https://careem-prod-superapp-lts.s3.amazonaws.com/assets/com.careem.food/lebanese_new_tile_xxxhdpi.png,2025-08-23T21:33:11.489280+04:00
food_home,carousel,https://careem-prod-superapp-lts.s3.amazonaws.com/assets/com.careem.food/Indian04-new-tile-image_xxxhdpi.png,2025-08-23T21:33:11.489283+04:00
food_home,carousel,https://careem-prod-superapp-lts.s3.amazonaws.com/assets/com.careem.food/Pizza-tile-new-image_xxxhdpi.png,2025-08-23T21:33:11.489286+04:00
food_home,carousel,https://careem-prod-superapp-lts.s3.amazonaws.com/assets/com.careem.food/Asian-tile-new-image-v2_xxxhdpi.png,2025-08-23T21:33:11.489289+04:00
food_home,carousel,https://careem-prod-superapp-lts.s3.amazonaws.com/assets/com.careem.food/dessert_new_UAE_tile_xxxhdpi.png,2025-08-23T21:33:11.489292+04:00
food_home,carousel,https://careem-prod-superapp-lts.s3.amazonaws.com/assets/com.careem.food/CareemPlus_UAE_022-new-tile-image_xxxhdpi.png,2025-08-23T21:33:11.489295+04:00
food_home,carousel,https://careem-prod-superapp-lts.s3.amazonaws.com/assets/com.careem.food/Arabic-new-tile-image_xxxhdpi.png,2025-08-23T21:33:11.489298+04:00
food_home,carousel,https://careem-launcher-media.imgix.net/assets/com.careem.food/dineout-logo-for-foodselections_xxxhdpi.png,2025-08-23T21:33:11.489301+04:00
food_home,carousel,https://careem-prod-superapp-lts.s3.amazonaws.com/assets/com.careem.food/BestSelling-new-tile-image_xxxhdpi.png,2025-08-23T21:33:11.489304+04:00
food_home,carousel,https://careem-prod-superapp-lts.s3.amazonaws.com/assets/com.careem.food/biryani_new_UAE_tile_xxxhdpi.png,2025-08-23T21:33:11.489306+04:00
food_home,carousel,https://d2hbd21uwni673.cloudfront.net/assets/com.careem.food/chaat_tile_v2_xxxhdpi.png,2025-08-23T21:33:11.489309+04:00
food_home,carousel,https://careem-prod-superapp-lts.s3.amazonaws.com/assets/com.careem.food/ChickenWings-new-tile-image_xxxhdpi.png,2025-08-23T21:33:11.489312+04:00
